id,name,sport_id,suitable_phase,space,group_size,base_duration_min,difficulty_base,compatible_fms_categories,flow_1,flow_2,flow_3,flow_4,teaching_tips,equipment,description
one_foot_tag_game,한 발 술래잡기 게임,tag_chase_play,기본,교실|체육관,6,8,1,이동|비이동,술래 1명과 게임장 경계를 정한다,술래가 한 발을 외치고 풍선 태그를 시도한다,태그된 학생이 술래로 교대한다,정해진 시간 생존 인원을 확인한다,술래 어깨와 발을 동시에 보게 지도|경계선 밀집 금지,풍선|콘,좁은 공간에서 반응과 균형을 기르는 술래 활동
pearl_shell_game,진주 조개 게임,tag_chase_play,기본,교실|운동장,8,8,1,이동|비이동,진주와 조개 역할을 짝으로 정한다,술래 구호에 맞춰 진주 또는 조개만 이동한다,자리를 못 찾은 학생이 술래가 된다,불가사리 구호를 추가해 난이도를 높인다,구호를 천천히 시작 후 점차 빠르게 운영,원마커,청지각 반응과 공간 판단을 기르는 활동
short_track_game,쇼트트랙 게임,tag_chase_play,응용,체육관|운동장,8,10,2,이동,십자 경로를 만들고 모둠을 배치한다,술래가 어깨를 터치하면 해당 모둠이 방향 주행한다,원위치 복귀 순위로 다음 술래를 정한다,짧은 라운드 반복으로 반응 속도를 높인다,회전 지점 감속을 강조|충돌 지점 사전 안내,콘|원마커,방향 전환 달리기와 반응 속도를 강화하는 추격 활동
chair_escape_game,의자 탈출 게임,tag_chase_play,응용,교실,10,8,2,이동|비이동,의자를 원형으로 배치하고 술래를 정한다,신호와 함께 술래는 빈 의자 착석을 시도한다,학생들은 술래보다 먼저 빈 의자에 앉는다,시간 종료 후 술래 교대하여 반복한다,의자 이동 금지 약속을 먼저 확인,의자|타이머,민첩성과 상황 판단을 기르는 교실형 게임
classroom_dodgeball_game,교실 피구 게임,dodge_touch,응용,교실|체육관,8,10,2,조작|이동,모둠별 안전 구역과 아웃 규칙을 설명한다,패스로 공을 연결하며 터치 기회를 만든다,아웃 학생은 대기 후 재참여 조건을 수행한다,라운드 종료 후 공격 수비 역할을 바꾼다,공 소유자 이동 금지를 반복 안내,폼볼|팀조끼|원마커,안전한 피구 규칙으로 패스와 회피를 익히는 활동
cross_turn_play,십자 돌기 놀이,traditional_play,기본,운동장|체육관,8,8,1,이동|비이동,십자 놀이판과 대기 위치를 정한다,술래 신호에 따라 해당 모둠이 달려 돈다,원래 자리로 복귀한 순서를 확인한다,가장 늦은 학생이 다음 술래가 된다,회전 전후 시선 전환을 지도,콘|분필,민첩성과 협동 타이밍을 기르는 전래 놀이
one_leg_jump_play,한 발 뛰기 놀이,traditional_play,기본,운동장|교실,6,8,1,이동|비이동,출발선을 긋고 술래를 정한다,참가자는 한 발로 진입과 복귀를 반복한다,술래는 규칙 범위 안에서 태그를 시도한다,태그 또는 선 이탈 시 술래를 교대한다,한 발 착지 안정 후 다음 이동 지도,분필|콘,균형과 리듬을 기르는 전래 놀이 기반 활동
eight_shape_play,8자 놀이,traditional_play,응용,운동장|체육관,8,10,2,이동|비이동,8자 놀이판을 그리고 시작 위치를 정한다,술래를 피해 8자 선 안에서 이동한다,선 이탈 또는 태그 시 역할을 교대한다,새로운 8자 변형 경로를 추가한다,좁은 곡선 구간 감속을 강조,분필|콘,경로 인지와 방향 전환을 강화하는 전래 활동
squid_play,오징어 놀이,traditional_play,응용,운동장,10,12,2,이동|조작,공격 수비 영역과 승리 조건을 설명한다,공격 팀은 제한 경로로 진입한다,수비 팀은 합법 접촉으로 진입 저지한다,라운드 후 역할을 바꿔 반복한다,체격 차이를 고려한 짝 배치 운영,콘|팀조끼,전략과 협동을 기르는 전래형 경쟁 활동
cup_flip_speed_samok,컵 플립 스피드 삼목,cup_stacking_play,챌린지,교실,4,10,2,조작|이동,컵 플립 성공 시 삼목 칸 점유 규칙을 안내한다,개인 플립 성공 후 팀 보드에 표시한다,5판 3선승으로 모둠 대항을 운영한다,색 바꾸기 변형으로 재도전한다,컵 조작은 던지지 않고 스냅만 사용,스태킹컵|보드판|원마커,조작 협응과 전략 선택을 함께 다루는 실내 게임
